Accident_ID,Accident Date,Day_of_Week,Junction_Detail,Accident_Injuries,Light_Conditions,death_toll,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Speed_limit,Hour_of_Accident,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70044,2021-01-17,Saturday,Crossroads,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,11.0,Urban,Fine no high winds,Van
200901BS70045,2021-01-15,Thursday,T or staggered junction,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70047,2021-02-09,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,9.0,Urban,Raining no high winds,Car
200901BS70049,2021-01-28,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,11.0,Urban,Raining no high winds,Car
200901BS70050,2021-01-23,Friday,Not at junction or within 20 metres,Slight,Daylight,2.0,1.0,Wet or damp,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70051,2021-01-26,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70052,2021-02-03,Tuesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,9.0,Urban,Fine no high winds,Car
200901BS70053,2021-02-10,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,One way street,30.0,8.0,Urban,Fine no high winds,Car
200901BS70054,2021-01-30,Friday,Roundabout,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,8.0,Urban,Fine no high winds,Other
200901BS70055,2021-01-28,Wednesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,19.0,Urban,Raining no high winds,Car
200901BS70056,2021-01-29,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Motorcycle
200901BS70057,2021-02-10,Tuesday,Not at junction or within 20 metres,Serious,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,23.0,Urban,Fine no high winds,Car
200901BS70058,2021-02-10,Tuesday,Crossroads,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70060,2021-02-12,Thursday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70061,2021-02-16,Monday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70062,2021-02-16,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70063,2021-02-14,Saturday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70064,2021-02-18,Wednesday,T or staggered junction,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70065,2021-02-21,Saturday,Not at junction or within 20 metres,Slight,Darkness - lights lit,2.0,1.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70066,2021-02-15,Sunday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Van
200901BS70067,2021-02-21,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,10.0,Urban,Fine no high winds,Car
200901BS70069,2021-02-12,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,16.0,Urban,Snowing no high winds,Car
200901BS70070,2021-02-12,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70071,2021-02-20,Friday,Roundabout,Slight,Darkness - lights lit,1.0,2.0,Dry,Roundabout,30.0,23.0,Urban,Fine no high winds,Van
200901BS70072,2021-02-27,Friday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70073,2021-01-18,Sunday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70075,2021-02-07,Saturday,T or staggered junction,Slight,Daylight,2.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70077,2021-02-23,Monday,Roundabout,Slight,Daylight,1.0,2.0,Dry,Roundabout,30.0,13.0,Urban,Fine no high winds,Van
200901BS70078,2021-02-22,Sunday,T or staggered junction,Serious,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70080,2021-02-26,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Car
200901BS70086,2021-01-16,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70088,2021-02-18,Wednesday,Not at junction or within 20 metres,Serious,Daylight,2.0,2.0,Wet or damp,Single carriageway,30.0,8.0,Urban,Other,Car
200901BS70089,2021-03-04,Wednesday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70090,2021-03-03,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70091,2021-03-03,Tuesday,Crossroads,Slight,Daylight,2.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70092,2021-03-03,Tuesday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,Single carriageway,30.0,20.0,Urban,Raining no high winds,Motorcycle
200901BS70093,2021-03-04,Wednesday,Mini-roundabout,Slight,Daylight,3.0,2.0,Dry,Roundabout,30.0,14.0,Urban,Fine no high winds,Motorcycle
200901BS70094,2021-03-06,Friday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,6.0,Urban,Fine no high winds,Car
200901BS70095,2021-02-17,Tuesday,T or staggered junction,Serious,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Motorcycle
200901BS70096,2021-03-03,Tuesday,T or staggered junction,Serious,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,20.0,Urban,Raining no high winds,Taxi
200901BS70097,2021-02-20,Friday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70099,2021-02-18,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70100,2021-03-09,Monday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70101,2021-03-09,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70102,2021-03-10,Tuesday,Roundabout,Serious,Daylight,1.0,2.0,Dry,Roundabout,30.0,13.0,Urban,Fine no high winds,Car
200901BS70107,2021-02-10,Tuesday,Crossroads,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,16.0,Urban,Fine no high winds,Car
200901BS70108,2021-03-09,Monday,Crossroads,Slight,Daylight,1.0,3.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70109,2021-03-02,Monday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70110,2021-02-25,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,12.0,Urban,Fine no high winds,Car
200901BS70111,2021-03-06,Friday,T or staggered junction,Slight,Darkness - lights lit,2.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70112,2021-03-14,Saturday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70113,2021-02-20,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Bus
200901BS70115,2021-03-09,Monday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Other
200901BS70116,2021-02-26,Thursday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70117,2021-02-28,Saturday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,6.0,Urban,Fine no high winds,Car
200901BS70118,2021-02-23,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70119,2021-02-11,Wednesday,Crossroads,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70120,2021-03-01,Sunday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Van
200901BS70121,2021-03-13,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Van
200901BS70122,2021-03-04,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70123,2021-02-07,Saturday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Other,Car
200901BS70124,2021-03-17,Tuesday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,23.0,Urban,Fine no high winds,Car
200901BS70126,2021-02-24,Tuesday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Bus
200901BS70128,2021-03-20,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Van
200901BS70129,2021-02-05,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,8.0,Urban,Raining no high winds,Car
200901BS70130,2021-03-20,Friday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,3.0,Dry,One way street,30.0,20.0,Urban,Fine no high winds,Car
200901BS70131,2021-03-20,Friday,T or staggered junction,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Taxi
200901BS70133,2021-01-20,Tuesday,Crossroads,Slight,Darkness - lights lit,2.0,2.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Motorcycle
200901BS70134,2021-03-21,Saturday,Not at junction or within 20 metres,Slight,Daylight,1.0,3.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Motorcycle
200901BS70135,2021-03-24,Tuesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Motorcycle
200901BS70136,2021-03-23,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Motorcycle
200901BS70137,2021-03-23,Monday,Crossroads,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,16.0,Urban,Raining no high winds,Car
200901BS70138,2021-03-23,Monday,T or staggered junction,Serious,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70139,2021-03-24,Tuesday,Crossroads,Serious,Darkness - lights lit,1.0,1.0,Wet or damp,Single carriageway,30.0,22.0,Urban,Raining no high winds,Car
200901BS70140,2021-03-24,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Motorcycle
200901BS70141,2021-03-24,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70142,2021-03-21,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70143,2021-03-25,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Other
200901BS70144,2021-03-27,Friday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70145,2021-03-28,Saturday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70146,2021-03-27,Friday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70147,2021-03-28,Saturday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,5.0,Urban,Fine no high winds,Car
200901BS70148,2021-03-28,Saturday,Not at junction or within 20 metres,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,6.0,Urban,Fine no high winds,Car
200901BS70149,2021-03-28,Saturday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,17.0,Urban,Raining no high winds,Car
200901BS70150,2021-03-18,Wednesday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70151,2021-03-28,Saturday,More than 4 arms (not roundabout),Slight,Daylight,2.0,4.0,Wet or damp,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70152,2021-03-24,Tuesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70153,2021-03-30,Monday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70154,2021-03-13,Friday,More than 4 arms (not roundabout),Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Motorcycle
200901BS70155,2021-04-01,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70156,2021-03-31,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70157,2021-03-31,Tuesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70159,2021-03-27,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70160,2021-04-03,Friday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Van
200901BS70161,2021-04-06,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70163,2021-04-03,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Motorcycle
200901BS70164,2021-03-26,Thursday,Roundabout,Slight,Daylight,1.0,1.0,Dry,Dual carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70165,2021-03-22,Sunday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Van
200901BS70166,2021-03-29,Sunday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70167,2021-03-19,Thursday,Not at junction or within 20 metres,Slight,Darkness - lights lit,2.0,1.0,Dry,Single carriageway,30.0,5.0,Urban,Fine no high winds,Car
200901BS70168,2021-03-23,Monday,Mini-roundabout,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70169,2021-03-25,Wednesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70171,2021-04-08,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70172,2021-04-01,Wednesday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,One way street,30.0,0.0,Urban,Fine no high winds,Car
200901BS70173,2021-03-26,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,10.0,Urban,Raining no high winds,Car
200901BS70174,2021-03-28,Saturday,Not at junction or within 20 metres,Serious,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70175,2021-04-08,Wednesday,T or staggered junction,Slight,Daylight,1.0,3.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Motorcycle
200901BS70177,2021-04-09,Thursday,Not at junction or within 20 metres,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70178,2021-04-09,Thursday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70179,2021-04-12,Sunday,T or staggered junction,Slight,Daylight,3.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70180,2021-04-12,Sunday,T or staggered junction,Serious,Daylight,1.0,1.0,Dry,One way street,30.0,15.0,Urban,Fine no high winds,Car
200901BS70181,2021-04-10,Friday,Crossroads,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,14.0,Urban,Raining no high winds,Car
200901BS70184,2021-04-15,Wednesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70185,2021-04-15,Wednesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70186,2021-04-14,Tuesday,T or staggered junction,Slight,Daylight,2.0,2.0,Dry,One way street,30.0,13.0,Urban,Fine no high winds,Car
200901BS70187,2021-04-17,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,9.0,Urban,Raining no high winds,Car
200901BS70189,2021-04-20,Monday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Van
200901BS70190,2021-01-28,Wednesday,Not at junction or within 20 metres,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Other
200901BS70191,2021-04-20,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70192,2021-04-22,Wednesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Bus
200901BS70193,2021-04-16,Thursday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70194,2021-04-22,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70195,2021-04-20,Monday,Crossroads,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Other
200901BS70196,2021-04-22,Wednesday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70197,2021-04-25,Saturday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70198,2021-04-26,Sunday,T or staggered junction,Slight,Daylight,4.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70199,2021-04-23,Thursday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Van
200901BS70200,2021-04-24,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70201,2021-04-14,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70202,2021-04-10,Friday,Crossroads,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,13.0,Urban,Raining no high winds,Car
200901BS70203,2021-04-27,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,7.0,Urban,Fine no high winds,Motorcycle
200901BS70204,2021-04-27,Monday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70205,2021-04-27,Monday,Crossroads,Slight,Daylight,1.0,2.0,Wet or damp,One way street,30.0,13.0,Urban,Raining no high winds,Other
200901BS70206,2021-04-26,Sunday,Crossroads,Slight,Daylight,2.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70207,2021-04-29,Wednesday,T or staggered junction,Slight,Darkness - lights lit,2.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
